"filename", "language", "JSON", "HTML", "JavaScript", "JSON with Comments", "TypeScript", "XML", "TypeScript JSX", "Markdown", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Self_Main\UpdateInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 15, 143
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Self_Main\userCard\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 4, 60
"c:\Users\user\Desktop\项目\chat-frontend\src\components\TopBar\Create.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 1, 72
"c:\Users\user\Desktop\项目\chat-frontend\src\components\TopBar\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\user\Desktop\项目\chat-frontend\src\components\TopBar\searchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 5, 5, 111
"c:\Users\user\Desktop\项目\chat-frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 2, 28
"c:\Users\user\Desktop\项目\chat-frontend\src\router\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 1, 61
"c:\Users\user\Desktop\项目\chat-frontend\src\services\chat\index.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\项目\chat-frontend\src\services\contact\index.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 2, 12, 76
"c:\Users\user\Desktop\项目\chat-frontend\src\services\favor\index.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\user\Desktop\项目\chat-frontend\src\services\file\index.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\项目\chat-frontend\src\services\index.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 7, 45
"c:\Users\user\Desktop\项目\chat-frontend\src\services\login\index.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\user\Desktop\项目\chat-frontend\src\services\regist\index.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\user\Desktop\项目\chat-frontend\src\services\search\index.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user\Desktop\项目\chat-frontend\src\services\self\index.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\user\Desktop\项目\chat-frontend\src\services\types.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\user\Desktop\项目\chat-frontend\src\utils\wei_ls.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\user\Desktop\项目\chat-frontend\src\views\APP.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\user\Desktop\项目\chat-frontend\src\views\APP.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 215, 0, 0, 0, 1, 3, 219
"c:\Users\user\Desktop\项目\chat-frontend\src\views\add\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\user\Desktop\项目\chat-frontend\src\views\chat\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\user\Desktop\项目\chat-frontend\src\views\contact\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 1, 3, 79
"c:\Users\user\Desktop\项目\chat-frontend\src\views\login\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\user\Desktop\项目\chat-frontend\src\views\more_apps\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"c:\Users\user\Desktop\项目\chat-frontend\src\views\notification\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"c:\Users\user\Desktop\项目\chat-frontend\src\views\regist\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\user\Desktop\项目\chat-frontend\src\views\self\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"c:\Users\user\Desktop\项目\chat-frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\user\Desktop\项目\chat-frontend\tsconfig.app.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 31
"c:\Users\user\Desktop\项目\chat-frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\user\Desktop\项目\chat-frontend\tsconfig.node.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\user\Desktop\项目\chat-frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 93, 13, 27, 7, 354, 1, 3062, 45, 64, 3225, 79, 1194, 8164
