"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "CSS", "Markdown", "JavaScript", "HTML", "YAML", "XML", "comment", "blank", "total"
"c:\Users\user\Desktop\项目\chat-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 10, 55
"c:\Users\user\Desktop\项目\chat-frontend\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 2, 29
"c:\Users\user\Desktop\项目\chat-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\user\Desktop\项目\chat-frontend\package.json", "JSON", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\user\Desktop\项目\chat-frontend\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3225, 0, 0, 840, 4065
"c:\Users\user\Desktop\项目\chat-frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Add_Main\index.tsx", "TypeScript JSX", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 3, 57
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Chat_Main\FileUpload.tsx", "TypeScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 9, 64
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Chat_Main\UploadModal.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Chat_Main\index.tsx", "TypeScript JSX", 0, 0, 0, 347, 0, 0, 0, 0, 0, 0, 18, 27, 392
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Chat_Main\style.ts", "TypeScript", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 128
