"filename", "language", "JSON", "Markdown", "JSON with Comments", "HTML", "JavaScript", "TypeScript", "TypeScript JSX", "XML", "YAML", "CSS", "comment", "blank", "total"
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Group\GroupList\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 1, 3, 92
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Group\MembersModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 9, 87
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Group\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Group\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 1, 17, 189
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Login_Main\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Login_Main\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 11, 78
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Register_Main\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Register_Main\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 18, 140
"c:\Users\user\Desktop\项目\chat-frontend\src\components\UpdateInfo\HeadPicUpload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 6, 7, 66
"c:\Users\user\Desktop\项目\chat-frontend\src\components\UpdateInfo\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\user\Desktop\项目\chat-frontend\src\components\UpdateInfo\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 15, 121
"c:\Users\user\Desktop\项目\chat-frontend\src\components\UpdatePassword\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\user\Desktop\项目\chat-frontend\src\components\UpdatePassword\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 13, 118
"c:\Users\user\Desktop\项目\chat-frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\user\Desktop\项目\chat-frontend\src\router\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 1, 56
"c:\Users\user\Desktop\项目\chat-frontend\src\services\chat\index.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\项目\chat-frontend\src\services\contact\index.ts", "TypeScript", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 11, 70
"c:\Users\user\Desktop\项目\chat-frontend\src\services\favor\index.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\user\Desktop\项目\chat-frontend\src\services\file\index.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\项目\chat-frontend\src\services\index.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 7, 44
"c:\Users\user\Desktop\项目\chat-frontend\src\services\login\index.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\user\Desktop\项目\chat-frontend\src\services\regist\index.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\user\Desktop\项目\chat-frontend\src\services\self\index.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 6, 30
"c:\Users\user\Desktop\项目\chat-frontend\src\services\types.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\user\Desktop\项目\chat-frontend\src\utils\wei_ls.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"c:\Users\user\Desktop\项目\chat-frontend\src\views\APP.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\user\Desktop\项目\chat-frontend\src\views\APP.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 1, 4, 129
